Threshold,Class,TP,FN,FP
0.1,aeroplane,3561045,143348,14310109
0.1,bicycle,1453478,117670,12211721
0.1,bird,3858527,525605,14304472
0.1,boat,2742867,120046,14480253
0.1,bottle,3283423,155540,19026853
0.1,bus,7912971,783403,11507084
0.1,car,6749897,338306,23246531
0.1,cat,11165625,1307841,14175629
0.1,chair,4360424,614860,33503394
0.1,cow,4106727,921042,8032539
0.1,diningtable,5093551,1152831,13996214
0.1,dog,8246212,1133128,11108909
0.1,horse,4294465,631211,9141342
0.1,motorbike,5109803,366278,12464420
0.1,person,21009756,3977240,82114542
0.1,pottedplant,2531676,373226,16691785
0.1,sheep,3833240,354028,6381647
0.1,sofa,6058814,1032650,18895619
0.1,train,7306120,597123,13784186
0.1,tvmonitor,3850313,270676,19137515
0.2,aeroplane,3215059,489334,7559647
0.2,bicycle,1247012,324136,6174398
0.2,bird,3089275,1294857,6990787
0.2,boat,2483927,378986,8695538
0.2,bottle,2869810,569153,11130301
0.2,bus,6270146,2426228,6373510
0.2,car,5855703,1232500,13402148
0.2,cat,8721338,3752128,5624830
0.2,chair,3405460,1569824,23442475
0.2,cow,3272513,1755256,3425925
0.2,diningtable,3612500,2633882,8636221
0.2,dog,6434963,2944377,3964173
0.2,horse,3433120,1492556,4125821
0.2,motorbike,4316965,1159116,5915436
0.2,person,15582575,9404421,48398980
0.2,pottedplant,2035383,869519,9714477
0.2,sheep,3227723,959545,2672182
0.2,sofa,4646469,2444995,13223444
0.2,train,6228288,1674955,8558520
0.2,tvmonitor,3158555,962434,12055387
0.3,aeroplane,2729597,974796,4176021
0.3,bicycle,1006183,564965,3384835
0.3,bird,2386907,1997225,3731094
0.3,boat,2049585,813328,5131344
0.3,bottle,2227757,1211206,6119072
0.3,bus,4548722,4147652,3328057
0.3,car,4600000,2488203,7564367
0.3,cat,6326623,6146843,2343670
0.3,chair,2421712,2553572,14036805
0.3,cow,2443103,2584666,1532846
0.3,diningtable,2408325,3838057,4838442
0.3,dog,4728288,4651052,1723828
0.3,horse,2574137,2351539,2022824
0.3,motorbike,3306872,2169209,2855855
0.3,person,10431300,14555696,26973019
0.3,pottedplant,1509312,1395590,5349456
0.3,sheep,2489623,1697645,1277709
0.3,sofa,3234122,3857342,8139396
0.3,train,4882847,3020396,5100038
0.3,tvmonitor,2296446,1824543,6521054
0.4,aeroplane,2161144,1543249,2333864
0.4,bicycle,746042,825106,1928943
0.4,bird,1778202,2605930,2034521
0.4,boat,1573121,1289792,2972262
0.4,bottle,1590911,1848052,3231278
0.4,bus,3040922,5655452,1684372
0.4,car,3334839,3753364,4167375
0.4,cat,4384217,8089249,1069625
0.4,chair,1605716,3369568,7722020
0.4,cow,1748994,3278775,741027
0.4,diningtable,1544738,4701644,2584142
0.4,dog,3385601,5993739,800334
0.4,horse,1846014,3079662,1028900
0.4,motorbike,2340162,3135919,1393319
0.4,person,6593294,18393702,14612170
0.4,pottedplant,1031812,1873090,2850959
0.4,sheep,1818850,2368418,631300
0.4,sofa,2105841,4985623,4491383
0.4,train,3470757,4432486,2890516
0.4,tvmonitor,1577838,2543151,3321265
0.5,aeroplane,1563356,2141037,1288790
0.5,bicycle,502377,1068771,1084830
0.5,bird,1285461,3098671,1101142
0.5,boat,1139778,1723135,1628601
0.5,bottle,1031075,2407888,1709996
0.5,bus,1877922,6818452,842807
0.5,car,2192946,4895257,2166087
0.5,cat,2927715,9545751,498344
0.5,chair,1004368,3970916,4030467
0.5,cow,1186989,3840780,363737
0.5,diningtable,969073,5277309,1338703
0.5,dog,2318042,7061298,393370
0.5,horse,1263780,3661896,521897
0.5,motorbike,1545761,3930320,689386
0.5,person,3962414,21024582,7681771
0.5,pottedplant,654682,2250220,1467603
0.5,sheep,1248050,2939218,316624
0.5,sofa,1272694,5818770,2307580
0.5,train,2283811,5619432,1566696
0.5,tvmonitor,1027048,3093941,1645815
0.6,aeroplane,1027112,2677281,669142
0.6,bicycle,308073,1263075,580915
0.6,bird,896927,3487205,576067
0.6,boat,772416,2090497,824733
0.6,bottle,642311,2796652,865979
0.6,bus,1068326,7628048,398662
0.6,car,1295665,5792538,1085171
0.6,cat,1885786,10587680,215320
0.6,chair,569150,4406134,1981774
0.6,cow,739540,4288229,172105
0.6,diningtable,584299,5662083,668607
0.6,dog,1527607,7851733,190439
0.6,horse,814736,4110940,248054
0.6,motorbike,950424,4525657,312901
0.6,person,2224771,22762225,3884090
0.6,pottedplant,389972,2514930,747212
0.6,sheep,820591,3366677,153754
0.6,sofa,713942,6377522,1144110
0.6,train,1369084,6534159,768506
0.6,tvmonitor,621627,3499362,798531
0.7,aeroplane,591107,3113286,315480
0.7,bicycle,165151,1405997,281459
0.7,bird,563557,3820575,291336
0.7,boat,451632,2411281,373322
0.7,bottle,377099,3061864,411509
0.7,bus,566439,8129935,181708
0.7,car,701006,6387197,505882
0.7,cat,1113009,11360457,88811
0.7,chair,287792,4687492,917769
0.7,cow,417105,4610664,68163
0.7,diningtable,323234,5923148,319759
0.7,dog,916225,8463115,88249
0.7,horse,480292,4445384,108787
0.7,motorbike,524020,4952061,134757
0.7,person,1150923,23836073,1807975
0.7,pottedplant,211067,2693835,368004
0.7,sheep,486499,3700769,67639
0.7,sofa,350951,6740513,523035
0.7,train,733721,7169522,337715
0.7,tvmonitor,330999,3789990,360252
0.8,aeroplane,285192,3419201,127216
0.8,bicycle,76029,1495119,114648
0.8,bird,292165,4091967,131731
0.8,boat,209703,2653210,146700
0.8,bottle,179030,3259933,158087
0.8,bus,242911,8453463,74200
0.8,car,305235,6782968,211193
0.8,cat,533224,11940242,31839
0.8,chair,120850,4854434,379875
0.8,cow,204674,4823095,21851
0.8,diningtable,147790,6098592,131036
0.8,dog,460532,8918808,36292
0.8,horse,235021,4690655,36830
0.8,motorbike,243171,5232910,50858
0.8,person,504539,24482457,743003
0.8,pottedplant,98665,2806237,150626
0.8,sheep,235052,3952216,26517
0.8,sofa,148827,6942637,218247
0.8,train,322438,7580805,127397
0.8,tvmonitor,143853,3977136,142961
0.9,aeroplane,85678,3618715,30691
0.9,bicycle,23528,1547620,31744
0.9,bird,94438,4289694,40969
0.9,boat,55864,2807049,39093
0.9,bottle,53177,3385786,44470
0.9,bus,62435,8633939,19583
0.9,car,84998,7003205,57077
0.9,cat,145942,12327524,7098
0.9,chair,32586,4942698,111039
0.9,cow,66197,4961572,4420
0.9,diningtable,48877,6197505,37849
0.9,dog,151430,9227910,10670
0.9,horse,71240,4854436,10166
0.9,motorbike,70465,5405616,13607
0.9,person,147434,24839562,205468
0.9,pottedplant,28759,2876143,42399
0.9,sheep,73765,4113503,7824
0.9,sofa,43590,7047874,67186
0.9,train,85163,7818080,33991
0.9,tvmonitor,39640,4081349,39353
